collection,publication,year,issue_or_edition,filename,source_url,notes
Burlington Section GMC,RidgeLines,1988,RidgeLines March 1988,RidgeLines_March_1988.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-17-no-4.pdf,
Burlington Section GMC,RidgeLines,1988,RidgeLines June 1988,RidgeLines_June_1988.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-18-no-1.pdf,
Burlington Section GMC,RidgeLines,1989,RidgeLines January 1989,RidgeLines_January_1989.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-18-no-3.pdf,
Burlington Section GMC,RidgeLines,1989,RidgeLines March 1989,RidgeLines_March_1989.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-18-no-4.pdf,
Burlington Section GMC,RidgeLines,1989,RidgeLines June 1989,RidgeLines_June_1989.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-19-no-1.pdf,
Burlington Section GMC,RidgeLines,1989,RidgeLines September 1989,RidgeLines_September_1989.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-18-no-2.pdf,
Burlington Section GMC,RidgeLines,1989,RidgeLines Septemer 1989,RidgeLines_Septemer_1989.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-19-no-2.pdf,
Burlington Section GMC,RidgeLines,1990,RidgeLines January 1990,RidgeLines_January_1990.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-19-no-3.pdf,
Burlington Section GMC,RidgeLines,1990,RidgeLines March 1990,RidgeLines_March_1990.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-19-no-4.pdf,
Burlington Section GMC,RidgeLines,1990,RidgeLines June 1990,RidgeLines_June_1990.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-20-no-1.pdf,
Burlington Section GMC,RidgeLines,1990,RidgeLines September 1990,RidgeLines_September_1990.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-20-no-2.pdf,
Burlington Section GMC,RidgeLines,1991,RidgeLines January 1991,RidgeLines_January_1991.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-20-no-3.pdf,
Burlington Section GMC,RidgeLines,1991,RidgeLines March 1991,RidgeLines_March_1991.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-20-no-4.pdf,
Burlington Section GMC,RidgeLines,1991,RidgeLines June 1991,RidgeLines_June_1991.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-21-no-1.pdf,
Burlington Section GMC,RidgeLines,1991,RidgeLines September 1991,RidgeLines_September_1991.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-21-no-2.pdf,
Burlington Section GMC,RidgeLines,1992,RidgeLines January 1992,RidgeLines_January_1992.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-21-no-3.pdf,
Burlington Section GMC,RidgeLines,1992,RidgeLines March 1992,RidgeLines_March_1992.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-21-no-4.pdf,
Burlington Section GMC,RidgeLines,1992,RidgeLines June 1992,RidgeLines_June_1992.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-22-no-1.pdf,
Burlington Section GMC,RidgeLines,1992,RidgeLines September 1992,RidgeLines_September_1992.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-22-no-2.pdf,
Burlington Section GMC,RidgeLines,1993,RidgeLines January 1993,RidgeLines_January_1993.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-22-no-3.pdf,
Burlington Section GMC,RidgeLines,1993,RidgeLines March 1993,RidgeLines_March_1993.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-22-no-4.pdf,
Burlington Section GMC,RidgeLines,1993,RidgeLines June 1993,RidgeLines_June_1993.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-23-no-1.pdf,
Burlington Section GMC,RidgeLines,1993,RidgeLines September 1993,RidgeLines_September_1993.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-23-no-2.pdf,
